udp   UNCONN 0      0              0.0.0.0:53262      0.0.0.0:*                                                                                                                                                                                                                                                                                                     
udp   UNCONN 0      0              0.0.0.0:53640      0.0.0.0:*    users:(("rpc.mountd",pid=45180,fd=12))                                                                                                                                                                                                                                                           
udp   UNCONN 0      0        192.168.122.1:53         0.0.0.0:*    users:(("dnsmasq",pid=34653,fd=5))                                                                                                                                                                                                                                                               
udp   UNCONN 0      0            127.0.0.1:53         0.0.0.0:*    users:(("unbound",pid=589,fd=5))                                                                                                                                                                                                                                                                 
udp   UNCONN 0      0        127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=581,fd=13))                                                                                                                                                                                                                                                        
udp   UNCONN 0      0                 [::]:53926         [::]:*    users:(("rpc.statd",pid=45176,fd=10))                                                                                                                                                                                                                                                            
udp   UNCONN 0      0                [::1]:53            [::]:*    users:(("unbound",pid=589,fd=3))                                                                                                                                                                                                                                                                 
tcp   LISTEN 0      4096     127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=581,fd=14))                                                                                                                                                                                                                                                        
tcp   LISTEN 0      256          127.0.0.1:53         0.0.0.0:*    users:(("unbound",pid=589,fd=6))                                                                                                                                                                                                                                                                 
tcp   LISTEN 0      32       192.168.122.1:53         0.0.0.0:*    users:(("dnsmasq",pid=34653,fd=6))                                                                                                                                                                                                                                                               
tcp   LISTEN 0      256              [::1]:53            [::]:*    users:(("unbound",pid=589,fd=4))                                                                                                                                                                                                                                                                 
